Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABILO;317.2581045;3070.771568;10108.9097;;;;;466.4356094;;;;;-5.225143;;;;
ALAMO;4048.010791;3543.186025;10361.97095;;10590.05644;11482.69394;11645.76567;461.9181689;;484.7246114;493.9509758;496.3203207;0.122903;;0.010763;0.000378241;0.01262482
DAPIK;-1023.744843;62.762428;1262.421607;1309.645963;1381.390035;1320.380961;1291.395749;216.7273706;214.1670435;211.8028589;208.4723737;207.2789546;-1.884082;-2.845765;-3.055333;-1.95129137;-2.016220217
ESALA;-904.3889287;768.4951784;3315.709472;3316.884089;3627.281526;3371.287018;3488.62952;287.6167654;285.8754344;285.6334822;284.8504982;281.5684294;-6.458367;-6.378572;-5.794473;-6.234114873;-6.357377099
FAP25L;-1111.144177;-156.9390356;885.849073;892.903382;906.718835;902.0375215;897.6582615;175.2146149;169.7463981;187.6360288;176.3943013;179.7131186;-4.374368;-4.492199;-5.028476;-4.593616992;-4.510852315
GAPRI;-904.3889287;2006.762936;6908.647885;6681.881156;7102.736498;6911.855088;7334.854762;374.9897343;365.1767167;375.1451107;377.620142;361.7827229;-8.629614;-7.811936;-5.610964;-7.591360404;-5.684776234
GASPA;-152.1683299;2522.184722;9155.492346;9335.481569;9019.608848;8313.952581;9056.392949;448.6826895;383.8273597;429.15865;429.6464007;431.3549909;-5.996066;-3.936227;-8.889921;-8.704747584;-5.03831196
GETES;-1205.853355;2316.972936;7941.709168;7669.685536;8184.676896;7943.983389;;404.7819781;393.928888;399.4608887;401.4767038;;-8.79344;-7.894988;-6.916957;-8.081736527;
IMU;-1538.750425;2661.85645;8812.760518;8765.406359;9254.290233;8964.292951;;425.3866058;423.1367763;438.2433931;423.6666494;;-6.856095;-7.368221;-9.259277;-7.897493257;
IPKON;-4794.514934;2532.525178;;;;;;;;;;;;;;;
KIDET;-1532.530578;2639.615412;8734.09733;8703.653694;9200.249306;8999.722831;;425.2400299;421.1050402;433.136248;431.4618228;;-7.23833;-7.901767;-9.181369;-8.135701645;
KURUS;-905.6751093;2918.872936;9418.4107;8931.770339;9273.403645;9078.902926;;446.5751393;432.2348394;468.9344124;459.9267719;;-10.391441;-8.713133;-11.877175;-9.960679861;
LEGOK;-1171.076955;-306.5395212;406.922468;404.668379;427.926957;414.6039587;409.242772;141.0476724;150.9916102;154.9896658;144.0495013;154.4382398;-3.476806;-3.944357;-3.857943;-3.765779323;-3.987253848
MOKOS;-1052.446063;-9.4477928;1204.654581;1221.267876;1280.253742;1251.287693;1229.436214;200.0635957;195.841091;202.4688613;193.7679981;196.360979;-1.070518;-1.860863;-2.020639;-1.386859475;-0.913727455
RW25L;-1216.703032;-420.9931212;71.852703;74.464809;86.010964;73.22569093;65.68441886;129.5891928;148.0451865;139.7526034;127.9132407;141.1674124;-2.368573;-3.303946;-2.212858;-1.512159707;-2.086256534
TASEL;-1107.59451;-147.5760644;914.687648;922.191829;937.091744;930.3342843;926.7122517;176.2577113;171.3191266;188.9042104;177.579371;181.2038762;-4.472072;-4.038657;-4.796321;-4.302780502;-4.243151571
TEGAR;-903.7248811;369.7827284;2121.93624;2146.342885;2114.720998;2109.960717;2030.790318;247.1296578;249.1610483;246.5334002;245.1813372;246.2744576;-4.580872;-5.218161;-4.567294;-4.131516841;-4.354092765
WETES;-904.3889287;1385.82845;5062.149372;4967.235917;5284.099174;5087.617786;5042.708235;331.2470808;326.9822437;329.6605571;333.325458;320.2727464;-8.107884;-7.67673;-7.379089;-8.146429874;-6.780636809
